StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,TotalPopulation,TotalPop18plus,ACCESS2_CrudePrev,ARTHRITIS_CrudePrev,BINGE.DRINKING,HIGH.BLOOD.PRESSURE,BPMED_CrudePrev,CANCER..EXCLUDING.SKIN.CANCER.,ASTHMA,CORONARY.HEART.DISEASE,CHECKUP_CrudePrev,CHOLSCREEN_CrudePrev,COLON_SCREEN_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DENTAL_CrudePrev,DEPRESSION,DIABETES,GENERAL.HEALTH,HIGH.CHOLESTEROL,LPA_CrudePrev,MAMMOUSE_CrudePrev,POOR.MENTAL.HEALTH,OBESITY,POOR.PHYSICAL.HEALTH,SLEEP_CrudePrev,STROKE_CrudePrev,TEETHLOST_CrudePrev,HEARING_CrudePrev,VISION_CrudePrev,COGNITION_CrudePrev,"MOBILITY_CrudePrev	",SELFCARE_CrudePrev,INDEPLIVE_CrudePrev,DISABILITY_CrudePrev,Geolocation
LA,Louisiana,Acadia,22001,22001961200,3149,2415,11,34,17,45,82,9,11,10,80,84,62,12,24,53,29,15,26,42,34,75,22,37,18,37,5,28,11,8,21,21,6,12,43,POINT (-92.3603655 30.1408364)
LA,Louisiana,Allen,22003,22003950100,4684,3451,9,32,19,38,79,9,11,9,79,86,65,11,21,57,31,14,23,39,30,76,21,39,16,36,4,18,9,7,20,18,5,11,39,POINT (-92.912636 30.6731894)
LA,Louisiana,Allen,22003,22003950201,2574,1896,9,32,18,41,80,9,11,8,79,86,68,10,21,57,29,14,23,39,30,80,20,39,16,37,5,15,9,7,19,19,5,10,39,POINT (-92.6232793 30.8585413)
LA,Louisiana,Allen,22003,22003950202,1951,1920,18,18,26,45,74,4,7,5,73,81,53,5,19,57,18,13,19,37,26,80,15,42,11,42,3,13,6,5,14,10,3,6,29,POINT (-92.6357136 30.8221786)
LA,Louisiana,Allen,22003,22003950300,2817,2050,14,34,15,46,80,7,12,9,81,82,65,13,25,46,29,18,32,39,38,77,23,45,19,42,6,29,9,10,24,24,8,15,46,POINT (-92.6764225 30.8215197)
LA,Louisiana,Allen,22003,22003950400,3860,2943,11,34,17,43,81,9,11,9,81,86,65,11,21,55,28,16,25,40,32,78,20,41,17,38,5,23,9,8,19,21,6,11,41,POINT (-92.6934473 30.6609249)
LA,Louisiana,Allen,22003,22003950501,3380,2488,10,33,18,40,80,9,11,8,80,86,66,10,20,57,29,14,23,39,30,75,21,40,16,38,5,18,9,7,19,18,5,10,39,POINT (-92.8909056 30.5154396)
LA,Louisiana,Allen,22003,22003950502,3484,2762,17,28,20,39,75,6,10,8,77,81,61,9,23,49,27,15,27,36,33,75,21,44,17,41,4,24,9,8,21,18,6,11,41,POINT (-92.7573304 30.5074915)
LA,Louisiana,Ascension,22005,22005030102,5218,3910,9,30,21,37,79,9,10,8,79,87,65,9,18,64,28,13,19,39,26,79,18,37,14,38,4,11,8,5,17,15,4,9,34,POINT (-90.8915738 30.2658615)
LA,Louisiana,Ascension,22005,22005030104,3680,2665,7,24,23,32,74,7,9,5,78,86,68,5,14,70,26,10,14,34,20,80,17,34,11,37,3,9,6,4,14,10,3,6,27,POINT (-90.8888663 30.3315382)
