CENSUS TRACT,2010 POPULATION,LACKING HEALTH INSURANCE,ARTHRITIS,BINGE DRINKING,HIGH BLOOD PRESSURE,BLOOD PRESSURE MEDICINE,CANCER (EXCLUDING SKIN CANCER),ASTHMA,CERVICAL CANCER SCREENING,CORONARY HEART DISEASE,ROUTINE CHECKUP,CHOLESTEROL SCREENING,COLON SCREENING,COPD,MEN CORE PREVENTATIVE SERVICES,WOMEN CORE PREVENTATIVE SERVICES,CURRENT SMOKER,DENTAL VISIT,DEPRESSION,DIABETES,GENERAL HEALTH,HIGH CHOLESTEROL,CHRONIC KIDNEY DISEASE,NO LEISURE-TIME PHYSICAL ACTIVITY,MAMMOGRAPHY USE FOR OLDER WOMEN,POOR MENTAL HEALTH,OBESITY,POOR PHYSICAL HEALTH,LESS THAN 7 HOURS SLEEP,STROKE,SENIORS WITH ALL TEETH LOST,GEOLOCATION
22033003201,"3,842",16.40%,27%,19.10%,45.40%,76.70%,6.10%,10.20%,86.70%,6.80%,83.30%,88.70%,64.10%,7.80%,26.80%,25%,23.60%,55.70%,23%,14.60%,24.70%,32.60%,3.80%,36.20%,81.40%,18.30%,41.80%,15.70%,43.50%,4.60%,18.40%,POINT (-91.12609615 30.5402928)
22033003202,"3,917",12.50%,25.60%,20.70%,42.20%,77.10%,6.60%,9.10%,87.80%,5.90%,83.80%,90.40%,67.70%,6.20%,29.70%,27.50%,18.30%,62.10%,21.70%,12.40%,18.80%,33.40%,3.20%,28.90%,81.80%,14.90%,37.10%,12.60%,40.80%,3.80%,14.10%,POINT (-91.11155043 30.5700253)
22033003300,"5,161",18.30%,26.30%,17.80%,47.60%,77.10%,5.60%,11.20%,85.20%,7%,84.90%,89.80%,64.70%,7.60%,22.30%,21.20%,22.30%,51%,21.20%,16.80%,27.10%,31.20%,4.40%,37.80%,84.30%,18.60%,42.80%,15.70%,45.50%,5.70%,24.60%,POINT (-91.16395439 30.51583689)
22033003400,"6,631",21.60%,29.80%,16.30%,52.20%,78.30%,5.40%,12.20%,83.30%,8.40%,84.10%,86.60%,60%,10.20%,19.90%,19.90%,28.60%,43.10%,23.50%,20.60%,34.50%,33.30%,5.20%,44.70%,83.40%,22.10%,48.70%,20.50%,48%,6.80%,30.40%,POINT (-91.1349441 30.51531822)
22033003501,"3,060",22.40%,24.70%,19.70%,43.10%,75.50%,5.30%,10.20%,84.60%,6.70%,80.70%,86%,63.40%,7.80%,24.20%,22.80%,23.30%,51.20%,22.50%,15.30%,27.70%,31.80%,3.90%,37.90%,82.60%,18.50%,41.20%,16.10%,43.20%,4.70%,22.90%,POINT (-91.08744425 30.5094503)
22033003504,"6,214",19.20%,28.70%,16.60%,51.60%,78.20%,5.10%,11.70%,85.40%,7.60%,84.50%,86.60%,61.80%,9.10%,21%,21%,27.50%,47.70%,22.70%,19.50%,31.80%,32.30%,4.80%,42.90%,85%,21.20%,48.80%,19.10%,48.10%,6.20%,25.10%,POINT (-91.11083122 30.50803257)
22033003505,"4,176",19.20%,24.20%,19.70%,44.10%,74.30%,5%,10.60%,85.90%,6%,82.60%,86.90%,61.70%,7.20%,23.40%,22.20%,24.20%,50%,22.20%,14.50%,26.10%,30.40%,3.60%,37.10%,83.70%,18.80%,42.60%,15.40%,46.10%,4.50%,22.80%,POINT (-91.10671207 30.49195602)
22033003506,"6,857",14.90%,24.30%,19.70%,42.70%,75.90%,6%,9.50%,87.60%,5.70%,84%,90.10%,66.50%,6.10%,28.80%,25.60%,19.40%,59.10%,20.60%,12.80%,20.50%,31.30%,3.30%,31.70%,82.70%,15.70%,38.90%,12.80%,43.10%,3.90%,16.10%,POINT (-91.07989801 30.47965013)
22033003507,"5,314",15.30%,23.80%,19.90%,43%,74.90%,5.20%,10.10%,88.50%,5.30%,83.70%,89.80%,66.60%,6.20%,28%,25.90%,21.10%,59.10%,21.50%,13.10%,22%,30.50%,3.30%,32.40%,84%,16.70%,41.10%,13.50%,43.90%,4%,15.40%,POINT (-91.04586975 30.48663164)
22033003601,"3,483",14.90%,24.70%,20%,41%,76.20%,6.70%,8.90%,86.10%,6.30%,83%,89.60%,68.20%,6.40%,31%,26.60%,18.50%,62.20%,20.90%,12.30%,19.80%,32.80%,3.20%,30.60%,81.20%,15.10%,35%,12.70%,40.30%,3.90%,14%,POINT (-91.08763768 30.46392809)
22033003603,"2,967",21.60%,24.80%,19.90%,40.80%,73.10%,5.70%,10%,81.40%,7.10%,79.90%,85.30%,58.80%,8.20%,24.20%,20.80%,23.80%,46.70%,24.20%,13.40%,26.60%,30.60%,3.90%,38.60%,79.30%,20%,40.40%,16.50%,42.90%,4.40%,26.30%,POINT (-91.06494943 30.46479302)
22033003604,"6,435",22.10%,19.90%,20.30%,38.30%,68.50%,3.80%,10.60%,82.10%,4.70%,80.10%,84.30%,57.90%,6.30%,23.90%,22.70%,25.40%,46.20%,23%,12%,25.70%,26.80%,3%,38.20%,81.70%,20.50%,40.50%,14.70%,46.70%,3.50%,23.40%,POINT (-91.04681548 30.46700663)
22033003701,"5,966",11.20%,26.60%,21.60%,38%,77.40%,8.30%,8.10%,87.20%,6.70%,81.70%,89.20%,70.70%,6.50%,34.40%,29%,16.20%,69.30%,23.30%,10.20%,16.20%,34.90%,3.10%,26.20%,79.20%,14.10%,31.10%,12%,34.40%,3.50%,10.90%,POINT (-91.07870624 30.44448448)
22033003702,"3,415",12.80%,27.60%,19.90%,40.20%,78.20%,8.20%,8.30%,85.50%,7.50%,82.10%,89.10%,70.10%,7.40%,33.50%,28.50%,17.50%,67.10%,23%,11.70%,18.70%,35.70%,3.40%,29.10%,78.10%,14.80%,31.90%,13.30%,35.30%,3.90%,12.40%,POINT (-91.06347502 30.44801157)
22033003703,"6,230",11.70%,25.90%,20.50%,38.60%,78.10%,8%,7.80%,85.60%,6.50%,82.50%,90.10%,69.20%,6.20%,33.50%,29.10%,16%,66.60%,21.50%,10.70%,16.10%,35.20%,3%,26.80%,78.50%,13.30%,30.30%,11.50%,36.10%,3.40%,12.20%,POINT (-91.04649285 30.45059301)
22033003801,"7,574",9.50%,20.50%,24.90%,31.90%,73.60%,6.20%,7.80%,86.50%,4.70%,80%,88.80%,71.80%,4.40%,33.70%,29.40%,13.10%,71%,22.30%,8.30%,12.60%,30%,2.50%,21.40%,82.60%,13.20%,29.10%,9.40%,34.30%,2.60%,9.40%,POINT (-91.11912801 30.4189069)
22033003802,"5,361",9.40%,23.10%,24.30%,32.90%,75.40%,7.60%,7.60%,86.90%,5.30%,80.60%,89.60%,72.60%,5%,34.90%,29%,13.60%,71.30%,23.10%,8.10%,12.50%,32.20%,2.50%,21.90%,80.50%,13%,28%,9.70%,33.10%,2.70%,9.70%,POINT (-91.08589843 30.42183576)
22033003804,"4,808",8.70%,22.80%,23.80%,31.90%,75.40%,7.70%,7.70%,86%,5.40%,80.50%,88.30%,73.30%,4.80%,36.10%,29.90%,12.30%,73%,23.40%,7.70%,11.90%,31.40%,2.60%,21%,80.60%,13.10%,27.10%,9.50%,32.20%,2.70%,8.50%,POINT (-91.09359181 30.40411491)
22033003805,"6,715",9.50%,21.10%,25.20%,30.70%,72.10%,6.40%,7.90%,87.30%,4.50%,79.60%,88.80%,71.10%,4.70%,35.30%,31.60%,14.90%,71.10%,24%,7.50%,12.60%,30.80%,2.20%,21.70%,80.40%,13.70%,29.20%,9.70%,34.80%,2.30%,9.50%,POINT (-91.07326063 30.39460025)
22033003904,"6,439",15.40%,21.10%,22.40%,35.40%,69.80%,5.30%,9.40%,84.80%,5%,80.50%,86.50%,64.70%,5.90%,29.40%,25.50%,20.10%,57%,23.60%,9.60%,18.70%,28%,2.80%,30.40%,80.60%,17.50%,36.20%,12.30%,41.30%,3%,16.80%,POINT (-91.03879347 30.43929616)
22033003906,"8,815",10.20%,23.40%,23.60%,33.90%,74.60%,6.70%,8%,86.20%,5.20%,80.10%,89.10%,69.30%,5.50%,33.20%,30.10%,16.10%,68.50%,24.10%,9%,14.60%,33.20%,2.50%,23.90%,80.30%,14.20%,30.60%,11%,35.40%,2.70%,10.60%,POINT (-91.03460107 30.40135238)
22033003907,"5,930",11.70%,22.30%,23.80%,33.80%,73%,6.50%,8.20%,85.90%,5.10%,80.60%,87.90%,69.90%,5.40%,32.90%,28.70%,16.80%,67.10%,23.30%,8.70%,14.80%,30.90%,2.50%,25.60%,80%,14.90%,31.20%,10.70%,36.60%,2.80%,11.10%,POINT (-91.04442832 30.42181002)
22033003908,"4,059",9.70%,21.30%,25.90%,30.80%,72.20%,6.40%,8%,87.20%,4.40%,79.50%,88.60%,71.40%,4.80%,34.60%,31.50%,15.30%,71.10%,24.50%,7.60%,12.60%,30.80%,2.20%,21.90%,80.10%,14.20%,29.50%,9.80%,34.60%,2.40%,9%,POINT (-91.0265952 30.42175785)
22033003909,"4,652",13.10%,22.20%,22.80%,34.70%,71.60%,6%,8.90%,84.10%,5.60%,79.70%,86.60%,66.40%,6%,31%,25.60%,18.20%,61.40%,24.20%,9.50%,17.30%,29.40%,2.90%,28.10%,80.60%,16.90%,33.50%,12.20%,38.40%,3.10%,14.20%,POINT (-91.06447768 30.42666781)
22033003910,"3,170",23.70%,18.80%,22.90%,34.40%,65.30%,3.80%,10%,80.10%,5%,76.60%,81.10%,56.70%,6.60%,23.50%,22.60%,25%,45.30%,25.10%,10.50%,25.40%,26.30%,2.90%,36.90%,79.30%,21.10%,39.40%,14.90%,43.80%,3.10%,25.60%,POINT (-91.05915318 30.41188325)
