CENSUS TRACT,2010 POPULATION,LACKING HEALTH INSURANCE,ARTHRITIS,BINGE DRINKING,HIGH BLOOD PRESSURE,BLOOD PRESSURE MEDICINE,CANCER (EXCLUDING SKIN CANCER),ASTHMA,CERVICAL CANCER SCREENING,CORONARY HEART DISEASE,ROUTINE CHECKUP,CHOLESTEROL SCREENING,COLON SCREENING,COPD,MEN CORE PREVENTATIVE SERVICES,WOMEN CORE PREVENTATIVE SERVICES,CURRENT SMOKER,DENTAL VISIT,DEPRESSION,DIABETES,GENERAL HEALTH,HIGH CHOLESTEROL,CHRONIC KIDNEY DISEASE,NO LEISURE-TIME PHYSICAL ACTIVITY,MAMMOGRAPHY USE FOR OLDER WOMEN,POOR MENTAL HEALTH,OBESITY,POOR PHYSICAL HEALTH,LESS THAN 7 HOURS SLEEP,STROKE,SENIORS WITH ALL TEETH LOST,GEOLOCATION
22033004401,"4,757",9.50%,26.30%,23%,36.70%,77.50%,8.20%,7.90%,86.70%,6.10%,81.40%,90.20%,70.10%,6.20%,33.10%,30.20%,16%,68.40%,24.20%,9.50%,14.70%,36.20%,2.70%,23.70%,78.80%,13.40%,30.20%,11.30%,34.50%,3.10%,11.60%,POINT (-91.05506151 30.52612834)
22033004402,"5,675",11.90%,22.70%,25.50%,32.40%,71.30%,6%,8.60%,85.20%,5.10%,77.50%,85.60%,66.20%,6.40%,30.60%,27.80%,20.70%,63.40%,27.30%,8.50%,16.50%,31.30%,2.50%,26.80%,78.90%,17.20%,32.40%,12.30%,36.80%,2.70%,14.30%,POINT (-91.0032252 30.54505206)
22033004403,"5,489",11.20%,25.40%,23.80%,35.60%,75.20%,7.30%,8.30%,86%,5.80%,80%,88.40%,67.90%,6.60%,31.10%,28.20%,19.10%,65.60%,25.70%,9.20%,16.20%,34.60%,2.60%,26.10%,79.10%,15.30%,31.70%,12.20%,36%,3%,12.90%,POINT (-91.0025032 30.4998835)
22033004503,"6,525",16%,23.90%,21.50%,37.80%,73.60%,6.30%,8.90%,86.60%,6%,80.40%,87.30%,67.30%,6.60%,30.50%,26.60%,19.80%,61.30%,23.30%,11.10%,20%,31.50%,3.10%,30.80%,79.60%,16.40%,35.60%,13.30%,39.20%,3.50%,14.60%,POINT (-91.00949479 30.46775981)
22033004504,"5,877",13.60%,23.30%,22.90%,35.50%,73.40%,6.10%,8.60%,85.30%,5.50%,79.50%,87.30%,67.20%,6.30%,30.60%,27.80%,19.70%,63.70%,24.50%,10.10%,18%,31.80%,2.80%,28.80%,79.90%,16.30%,33.70%,12.60%,38%,3.10%,13.10%,POINT (-91.00461009 30.45177759)
22033004505,"7,920",11.90%,19.40%,24.70%,31.10%,68.60%,5.10%,8.70%,86.10%,4%,79.70%,87.70%,67.70%,4.70%,31.30%,28.30%,16.80%,64.30%,23.70%,7.90%,14.60%,28.10%,2.20%,24.50%,81.30%,15.40%,32.40%,10.30%,38.30%,2.40%,11.90%,POINT (-90.99372188 30.42785913)
22033004507,"4,846",8.70%,21.70%,25.40%,31.10%,73.10%,6.60%,7.80%,88.10%,4.50%,79.80%,88.90%,71.70%,4.70%,35.60%,32.10%,14.10%,72.60%,24%,7.60%,12.10%,31.80%,2.30%,20.70%,80.50%,13.20%,29.10%,9.60%,34%,2.30%,8.40%,POINT (-91.00826877 30.40461205)
22033004508,"7,884",8.20%,24%,24.30%,33.30%,75%,7%,7.80%,88.30%,5.10%,80.30%,89.50%,70.50%,5.30%,34.20%,31.60%,15.10%,73.40%,24.60%,8.50%,13.20%,34.40%,2.40%,21.70%,80.80%,13.40%,30.10%,10.70%,33.40%,2.60%,8.30%,POINT (-90.98772613 30.40133907)
22033004509,"6,895",13.30%,21.40%,24.70%,32.40%,69.80%,5.50%,8.90%,86%,4.70%,78.10%,86%,66.30%,5.90%,30.60%,27%,20.30%,64%,25.80%,8.60%,17%,29.40%,2.50%,27.60%,80.40%,17.10%,33.40%,12%,38.10%,2.70%,13.20%,POINT (-91.01778626 30.37435424)
22033004510,"6,877",8.40%,20.60%,26.80%,29.40%,71.80%,6.40%,7.50%,88.30%,4.10%,79%,88.70%,71.50%,4.30%,35.40%,32.30%,14.20%,72.50%,24%,7%,11.10%,31%,2.10%,19.90%,80.60%,12.90%,28.40%,9%,34%,2.10%,8.50%,POINT (-90.95922466 30.36491649)
