"GEOID","NAME","Total_Population","White_Alone","Black_Alone","Asian_Alone","Hispanic_Latino","Percent_White","Percent_Black","Percent_Asian","Percent_Hispanic","Median_Household_Income","Median_Income_Owner_Occupied","Median_Income_Renter_Occupied","Low_Income_Under_35K","Middle_Income_35K_100K","High_Income_100K_Plus","Percent_Low_Income_Under_35K","Percent_High_Income_100K_Plus","Below_Poverty_Level","Percent_Below_Poverty","Percent_Households_Below_Poverty","Children_Below_Poverty","Percent_Children_Below_Poverty","Total_Households","Family_Households","Nonfamily_Living_Alone","Percent_Family_Households","Percent_Single_Person_Households","Households_With_Children_Under_18","Percent_Households_With_Children","Total_Own_Children_Under_18","Children_In_Married_Couple_Families","Children_In_Single_Mother_Families","Percent_Children_Married_Couple","Percent_Children_Single_Parent","Large_Owner_Households_4_Plus","Large_Renter_Households_4_Plus","Percent_Large_Owner_Households","Percent_Large_Renter_Households","Total_Housing_Units","Occupied_Units","Vacant_Units","Percent_Occupied","Percent_Vacant","Owner_Occupied","Renter_Occupied","Percent_Owner_Occupied","Percent_Renter_Occupied","Median_Home_Value","Median_Gross_Rent","Single_Family_Detached","Single_Family_Attached","Mobile_Home","Multi_Family_All_Units","Multi_Family_5_Plus_Units","Multi_Family_10_Plus_Units","Multi_Family_20_Plus_Units","Percent_Single_Family","Percent_Multi_Family_All","Percent_Multi_Family_5_Plus","Percent_Multi_Family_10_Plus","Percent_Multi_Family_20_Plus","Percent_Built_2000_Plus","Percent_Built_Pre_1980","One_Bedroom","Two_Bedrooms","Three_Bedrooms","Four_Bedrooms","Two_Plus_Bedroom_Units","Three_Plus_Bedroom_Units","Percent_Two_Plus_Bedrooms","Percent_Three_Plus_Bedrooms","High_Rent_Burden_30_Plus_Units","High_Rent_Burden_50_Plus_Units","Percent_High_Rent_Burden_30_Plus","Percent_High_Rent_Burden_50_Plus","S2503_Median_Household_Income","S2503_Median_Housing_Costs","S2503_Median_Owner_Costs","S2503_Median_Renter_Costs","Total_Cost_Burden_30_Plus","Percent_Cost_Burden_30_Plus","High_Housing_Costs_1500_Plus","Low_Housing_Costs_Under_800"
"22033004402","Census Tract 44.02; East Baton Rouge Parish; Louisiana",6442,4784,896,83,251,74.2626513505123,13.9087239987581,1.28841974542068,3.89630549518783,106566,113542,63010,246,938,1293,9.93136859103755,52.2002422285022,566,8.78609127600124,8.88171174808236,234,12.6829268292683,2477,1826,539,73.7182075090836,21.7601937828018,1205,48.6475575292693,1774,1239,432,69.8421645997745,30.1578354002255,1616,1155,73.891175125743,398.275862068966,2500,2477,23,99.08,0.92,2187,290,88.292289059346,11.707710940654,254800,1471,2255,23,0,222,222,103,103,91.12,8.88,8.88,4.12,4.12,41.24,21.64,0,364,1580,490,2500,2136,100,85.44,121,80,41.7241379310345,27.5862068965517,106566,1380,1378,1378,669,27.0084779975777,919,566
"22033004403","Census Tract 44.03; East Baton Rouge Parish; Louisiana",6921,5217,1102,0,494,75.3792804508019,15.922554544141,0,7.13769686461494,107924,110068,33856,446,598,1128,20.5340699815838,51.9337016574586,464,6.7042334922699,8.74769797421731,185,9.45807770961145,2172,1853,226,85.3130755064457,10.4051565377532,907,41.7587476979742,1943,1499,399,77.1487390633042,22.8512609366958,1840,513,88.8030888030888,513,2248,2172,76,96.6192170818505,3.38078291814947,2072,100,95.3959484346225,4.60405156537753,306000,1196,2217,16,0,15,0,0,0,99.3327402135231,0.667259786476868,0,0,0,30.5160142348754,48.9768683274021,28,32,1048,926,2220,2188,98.7544483985765,97.3309608540925,84,63,84,63,107924,1376,1442,1442,486,22.3756906077348,1012,757
"22033004503","Census Tract 45.03; East Baton Rouge Parish; Louisiana",6622,1109,2709,362,2760,16.74720628209,40.9090909090909,5.46662639685896,41.6792509815766,56729,72857,49347,318,1172,429,16.5711307972903,22.3553934340803,827,12.8475998135778,13.7050547159979,260,10.8153078202995,1919,1467,427,76.4460656591975,22.2511724856696,870,45.3361125586243,1884,970,715,51.4861995753716,48.5138004246284,1110,1550,84.0909090909091,258.764607679466,1987,1919,68,96.5777554101661,3.42224458983392,1320,599,68.7858259510162,31.2141740489838,168700,1237,1435,17,13,522,19,19,19,73.0749874182184,26.2707599396074,0.956215400100654,0.956215400100654,0.956215400100654,27.4282838449924,34.8263714141922,0,274,1291,276,1953,1679,98.288877705083,84.4992450931052,232,58,38.7312186978297,9.68280467445743,56729,1148,1091,1091,598,31.1620635747785,434,363
"22033004504","Census Tract 45.04; East Baton Rouge Parish; Louisiana",6142,2007,2964,380,672,32.6766525561706,48.2578964506675,6.18690980136763,10.9410615434712,61478,70813,42306,459,1143,593,20.9111617312073,27.0159453302961,291,4.78303747534517,7.15261958997722,66,4.41471571906354,2195,1312,770,59.7722095671982,35.0797266514806,695,31.6628701594533,1472,1151,296,78.1929347826087,21.8070652173913,1089,1423,68.7934301958307,232.516339869281,2458,2195,263,89.300244100895,10.699755899105,1583,612,72.118451025057,27.8815489749431,232000,1624,1962,0,120,376,279,236,116,79.8209926769731,15.2969894222945,11.3506916192026,9.60130187144019,4.71928397070789,22.4165988608625,38.6493083807974,33,280,1444,543,2299,2019,93.5313262815297,82.139951179821,285,248,46.5686274509804,40.5228758169935,61478,1520,1375,1375,820,37.3576309794989,1128,474
"22033004507","Census Tract 45.07; East Baton Rouge Parish; Louisiana",4441,2569,1269,295,138,57.8473316820536,28.5746453501464,6.64264805224049,3.10740824138708,109685,123269,55559,251,417,1004,15.011961722488,60.0478468899521,201,4.52600765593335,9.0311004784689,0,0,1672,1349,315,80.6818181818182,18.8397129186603,448,26.7942583732057,906,651,93,71.8543046357616,28.1456953642384,1275,678,92.7947598253275,227.51677852349,1795,1672,123,93.1476323119777,6.85236768802228,1374,298,82.177033492823,17.822966507177,297000,1356,1441,85,0,269,160,97,56,85.0139275766017,14.9860724233983,8.91364902506964,5.40389972144847,3.11977715877437,17.1030640668524,37.5487465181059,43,221,599,804,1689,1468,94.0947075208914,81.7827298050139,123,63,41.2751677852349,21.1409395973154,109685,1410,1548,1548,329,19.677033492823,712,287
"22033004509","Census Tract 45.09; East Baton Rouge Parish; Louisiana",6727,3158,2269,179,532,46.9451464248551,33.7297458005054,2.66091868589267,7.90842872008325,67003,102535,35989,617,1114,992,22.6588321704003,36.4304076386339,1145,17.3484848484848,18.8395152405435,406,21.5042372881356,2723,1795,851,65.919941241278,31.252295262578,974,35.7693720161586,1825,958,786,52.4931506849315,47.5068493150685,1204,2340,75.5332496863237,207.26306465899,3183,2723,460,85.5482249450204,14.4517750549796,1594,1129,58.5383767903048,41.4616232096952,226300,1037,1731,18,40,1394,872,852,488,54.9481621112158,43.7951617970468,27.3955387998743,26.7672007540057,15.3314483191957,32.3279924599435,11.2158341187559,399,976,1629,118,2754,1778,86.5221489161169,55.8592522777254,937,395,82.9937998228521,34.9867139061116,67003,1195,1272,1272,1150,42.2328314359163,816,868
"22033004511","Census Tract 45.11; East Baton Rouge Parish; Louisiana",5362,1650,2742,5,447,30.7720999627005,51.1376352107423,0.093248787765759,8.33644162625886,67097,82404,61875,599,1030,501,28.1220657276995,23.5211267605634,953,17.7765342286887,17.6056338028169,281,29.7354497354497,2130,1287,567,60.4225352112676,26.6197183098592,729,34.2253521126761,945,275,389,29.1005291005291,70.8994708994709,343,2800,64.1121495327103,175.548589341693,2551,2130,421,83.4966679733438,16.5033320266562,535,1595,25.1173708920188,74.8826291079812,202600,1290,809,90,0,1652,1453,899,402,35.2410819286554,64.7589180713446,56.9580556644453,35.2410819286554,15.7585260682085,32.6930615444924,25.6762054096433,347,903,838,289,2048,1145,80.2822422579381,44.8843590748726,762,406,47.7742946708464,25.4545454545455,67097,1263,858,858,879,41.2676056338028,366,229
"22033004512","Census Tract 45.12; East Baton Rouge Parish; Louisiana",2589,1538,634,307,15,59.4051757435303,24.4882193897258,11.8578601776748,0.579374275782155,134360,149028,NA,53,251,489,6.68348045397226,61.6645649432535,275,10.6218617226728,5.80075662042875,95,13.2311977715877,793,676,52,85.2459016393443,6.55737704918033,269,33.921815889029,718,572,140,79.6657381615599,20.3342618384401,601,281,84.5288326300984,342.682926829268,930,793,137,85.2688172043011,14.7311827956989,711,82,89.6595208070618,10.3404791929382,378500,981,722,56,43,109,19,0,0,83.6559139784946,11.7204301075269,2.04301075268817,0,0,60,2.04301075268817,0,137,165,508,904,767,97.2043010752688,82.4731182795699,46,46,56.0975609756098,56.0975609756098,134360,1415,1539,1539,98,12.3581336696091,371,100
"22033004513","Census Tract 45.13; East Baton Rouge Parish; Louisiana",4732,3354,878,120,124,70.8791208791209,18.5545224006762,2.53592561284869,2.62045646661031,115913,129640,17113,328,342,1013,19.4890077243018,60.1901366607249,523,11.0711261642676,12.3588829471182,264,19.2,1683,1369,253,81.3428401663696,15.0326797385621,594,35.2941176470588,1016,724,285,71.259842519685,28.740157480315,1228,782,85.6943475226797,312.8,1740,1683,57,96.7241379310345,3.27586206896552,1433,250,85.1455733808675,14.8544266191325,344200,NA,1587,0,0,153,125,0,0,91.2068965517241,8.79310344827586,7.18390804597701,0,0,29.1379310344828,31.8965517241379,0,174,706,771,1740,1566,100,90,208,65,83.2,26,115913,1649,1706,1706,340,20.2020202020202,959,419
"22033004514","Census Tract 45.14; East Baton Rouge Parish; Louisiana",2762,2393,254,0,82,86.6401158580739,9.19623461259957,0,2.96886314265025,175208,175208,NA,60,197,752,5.94648166501487,74.5292368681863,45,1.62925416364953,2.97324083250743,0,0,1009,916,72,90.782953419227,7.13577799801784,257,25.4707631318137,465,430,0,92.4731182795699,7.52688172043011,969,115,96.0356788899901,0,1059,1009,50,95.2785646836638,4.72143531633617,1009,0,100,0,388900,NA,1053,0,0,6,6,6,6,99.4334277620397,0.56657223796034,0.56657223796034,0.56657223796034,0.56657223796034,7.2710103871577,20.8687440982059,0,6,282,663,1059,1053,100,99.4334277620397,0,0,0,0,175208,1601,1601,1601,46,4.5589692765114,523,323
